distanza_km,valore_merce_eur,peso_kg,fragile,numero_transiti,rischio_meteo,rischio_doganale,tracking_gps,modalità_trasporto,ritardo
291,82147,1946,1,5,4,3,0,Strada,1
2091,20199,3115,1,4,5,4,1,Strada,1
1413,184208,2798,1,2,4,4,0,Aereo,1
2189,221868,5190,1,5,3,5,0,Aereo,1
1440,121787,6742,1,2,3,3,1,Strada,1
1528,115427,6439,1,1,2,4,0,Aereo,1
825,149063,6476,1,3,5,2,1,Strada,0
84,154625,2711,0,3,5,5,1,Mare,1
2303,221782,3028,1,3,2,5,1,Strada,1
2005,88493,6999,1,4,3,2,1,Ferrovia,1
1635,275915,6425,1,0,5,3,0,Aereo,1
1071,126607,6509,1,2,4,4,0,Strada,1
1179,247834,7031,0,1,5,4,0,Aereo,1
1550,80876,1873,1,4,3,3,0,Aereo,1
752,168071,3457,0,3,5,2,1,Strada,1
2499,203959,6157,0,4,5,2,1,Ferrovia,1
1629,244722,6145,0,1,1,2,1,Ferrovia,1
211,45440,4556,1,5,5,5,1,Strada,0
251,32655,6438,1,4,2,4,0,Strada,1
2031,44039,4532,0,3,2,1,1,Strada,1
1045,73219,6882,0,0,4,5,1,Strada,0
2367,187061,1798,1,3,5,5,1,Strada,1
865,274388,6551,0,3,4,4,1,Strada,1
505,95594,5167,0,3,3,3,1,Ferrovia,1
1325,171623,2711,1,4,3,4,0,Mare,1
1066,195302,6991,1,1,1,3,0,Aereo,0
2393,291515,6215,0,3,1,4,0,Ferrovia,1
387,160950,68,0,5,5,5,1,Strada,1
928,168229,3408,1,4,5,2,1,Mare,1
1126,6914,325,1,1,4,5,1,Strada,1
841,215772,4128,1,0,4,5,1,Mare,1
2314,290324,4804,0,3,5,1,0,Strada,1
813,228561,2995,1,2,5,5,0,Strada,1
2285,188435,4697,0,4,1,5,1,Strada,1
429,96213,4824,0,5,1,5,1,Mare,1
542,38805,4748,1,0,1,1,0,Ferrovia,1
1230,127599,7289,1,0,5,3,0,Strada,1
2112,154775,414,1,0,4,1,0,Mare,1
114,191093,2023,1,4,2,2,1,Mare,1
1417,75176,844,0,1,2,3,1,Strada,0
1202,95799,5504,0,2,4,1,1,Ferrovia,1
2077,99385,6845,0,5,4,2,0,Strada,1
1545,236654,5920,0,1,4,2,1,Strada,0
1212,89919,639,1,3,1,4,1,Strada,0
1572,82462,4344,0,2,3,4,0,Mare,1
441,180340,6210,1,1,5,5,0,Strada,1
1748,166320,4363,1,3,1,3,0,Strada,1
468,32159,790,0,2,2,1,1,Aereo,1
2386,43039,4795,0,4,5,5,1,Strada,1
428,233974,2244,0,5,4,3,0,Strada,1
1846,48800,7427,0,5,2,4,1,Ferrovia,0
2328,95626,719,0,3,4,1,1,Mare,1
2138,119368,1487,1,1,4,2,1,Strada,1
2232,175735,4810,1,2,4,2,0,Strada,0
250,81903,905,0,3,5,5,0,Mare,1
1913,119998,2427,0,3,2,5,0,Mare,1
829,242324,5040,0,4,2,1,0,Aereo,1
552,234229,4083,0,3,4,2,1,Mare,1
1801,62748,1943,0,2,1,5,1,Aereo,1
854,42190,7569,0,0,3,2,0,Strada,1
2196,41318,1236,1,2,1,4,0,Strada,1
1945,169090,1892,1,2,5,5,1,Mare,1
1620,125078,6294,0,4,3,3,1,Strada,1
1010,40759,376,0,4,1,5,0,Aereo,1
1535,279642,6520,1,5,2,4,1,Mare,1
1078,26989,3276,0,5,1,1,0,Strada,1
552,157640,6203,0,3,4,2,1,Aereo,1
447,162171,2450,0,5,5,1,0,Mare,0
920,286626,4328,1,4,1,5,1,Mare,1
442,293192,4600,0,3,1,3,0,Mare,1
256,36814,5815,1,0,3,1,0,Mare,1
1088,191766,4151,0,1,4,3,1,Ferrovia,0
1931,61204,7550,0,4,3,5,0,Aereo,1
1534,33844,4065,1,4,5,3,1,Strada,1
913,249827,5502,0,0,5,3,0,Aereo,1
613,246256,7475,1,4,4,4,0,Aereo,1
1070,22518,4356,1,5,3,1,0,Mare,0
145,24052,100,0,5,4,5,0,Mare,1
1973,257346,1518,1,5,3,4,0,Mare,1
1807,70803,7876,1,0,2,3,0,Strada,1
2328,72524,1059,0,3,4,4,1,Strada,1
1728,225582,4522,0,4,5,4,0,Aereo,1
590,68021,6833,0,4,3,3,1,Mare,0
1109,212321,3607,1,5,2,5,1,Strada,1
1233,283187,6963,0,3,5,2,1,Strada,1
1772,3419,1124,0,4,3,4,1,Strada,1
1869,188964,203,0,2,2,1,1,Aereo,0
1647,122831,631,0,0,5,3,1,Mare,1
845,245688,837,1,1,5,2,0,Mare,1
1101,102799,4936,0,2,2,4,1,Strada,1
1693,195941,3431,0,1,5,3,0,Aereo,1
1413,177282,7616,0,2,3,3,0,Ferrovia,1
2031,109611,6327,0,2,3,4,0,Aereo,1
1404,138559,2317,0,2,5,1,0,Strada,0
1713,63112,4308,1,0,1,3,0,Aereo,1
1579,240040,1020,0,1,2,3,1,Strada,0
2088,279504,697,0,3,1,4,0,Strada,1
1546,234451,6762,1,3,3,2,0,Strada,1
2287,222490,5671,0,5,5,3,1,Strada,1
1458,266161,995,1,4,4,3,1,Strada,1
1450,192196,4834,1,0,4,4,0,Mare,1
1356,248418,6308,1,5,1,3,1,Strada,1
1022,222370,5668,1,5,1,4,1,Aereo,0
1818,190340,1545,0,0,1,1,0,Strada,1
1332,67320,2097,0,0,3,4,0,Ferrovia,1
759,236067,1222,1,2,3,2,0,Strada,1
1529,213373,7458,1,0,5,3,0,Mare,1
1484,294271,4268,1,3,3,1,1,Strada,1
698,181786,4949,1,0,5,3,1,Mare,1
367,295065,2936,1,2,5,3,0,Ferrovia,1
1307,267890,5238,0,1,1,4,0,Mare,0
733,66350,7019,1,5,4,3,0,Strada,1
713,182417,4208,0,0,1,1,0,Strada,1
2048,241678,782,1,5,3,5,0,Strada,1
1681,23063,3137,1,1,2,3,0,Strada,1
1545,118116,3511,0,4,3,4,1,Aereo,1
1186,178043,6783,1,2,4,2,0,Strada,1
1903,135670,1707,0,5,3,3,1,Strada,1
1570,11564,5093,0,0,4,4,0,Strada,1
613,243124,7475,1,4,2,3,1,Strada,1
1341,228506,6410,1,4,2,5,0,Ferrovia,1
1686,87134,528,0,1,5,5,1,Strada,1
748,106940,1187,0,5,3,1,1,Strada,1
2210,63085,4003,1,5,5,5,0,Mare,1
51,18862,6142,0,3,1,4,0,Strada,0
691,273409,5549,1,3,1,5,0,Strada,1
2317,141777,7875,1,3,1,4,0,Mare,0
1639,187351,1026,1,5,1,3,0,Ferrovia,1
904,63471,286,0,5,1,1,1,Aereo,0
1809,92080,2573,1,3,3,1,0,Ferrovia,1
2482,109007,4093,0,2,5,5,1,Mare,1
1711,47104,6100,0,0,5,2,1,Strada,1
1203,41934,647,1,0,4,5,0,Strada,1
1126,255606,1752,0,2,1,2,0,Aereo,1
1757,7050,2226,0,1,2,5,0,Strada,1
1745,176024,2607,0,0,4,4,0,Strada,1
1783,271628,214,0,5,4,4,1,Ferrovia,1
1489,185750,2374,0,4,3,2,1,Strada,1
2344,32323,6450,1,5,4,1,1,Mare,1
885,87332,7349,1,0,2,2,1,Aereo,1
252,256540,3089,0,2,5,3,0,Mare,1
172,255547,619,1,1,4,1,1,Strada,1
450,273459,3378,1,0,3,2,0,Mare,1
816,158591,190,1,2,1,3,1,Strada,1
343,272251,735,0,4,2,3,1,Mare,1
2377,56781,736,0,3,1,5,1,Mare,1
247,267013,3330,1,4,4,2,1,Aereo,1
1980,8971,2813,1,4,5,4,0,Strada,0
2241,255927,7216,1,1,3,5,0,Aereo,0
658,288795,3640,0,0,2,1,1,Mare,1
1197,24446,2088,0,3,5,4,0,Mare,1
236,258419,1124,1,2,2,3,1,Strada,0
1844,170180,5672,0,3,3,1,1,Strada,1
709,4823,5428,0,0,3,5,1,Mare,1
2005,145526,2275,0,1,4,3,0,Ferrovia,1
1419,136004,5067,1,0,2,3,1,Strada,1
2036,206162,6736,0,2,4,3,0,Ferrovia,1
1584,68965,7573,0,3,2,4,1,Mare,1
196,273654,1391,1,4,2,5,0,Aereo,1
1784,142609,1739,1,0,1,5,1,Strada,1
1893,106935,3060,1,5,4,4,1,Aereo,1
538,234705,413,0,1,2,5,0,Aereo,1
2009,254978,5224,0,1,2,3,1,Aereo,0
1713,145854,7373,0,3,3,3,1,Aereo,1
2435,79004,1117,0,4,1,3,1,Strada,1
690,23072,2690,0,2,3,5,1,Mare,1
1852,82015,3799,0,4,4,2,1,Strada,1
2019,226075,2080,1,3,4,1,0,Strada,1
2248,221010,6735,0,4,2,2,0,Strada,1
1488,73746,6515,0,3,5,4,0,Strada,1
1684,177774,6841,1,4,3,2,1,Mare,1
312,129259,6207,1,0,4,2,0,Mare,1
1837,31916,5526,0,1,2,4,1,Strada,0
2241,28268,5652,0,3,2,2,1,Mare,1
2443,176050,667,1,3,3,1,0,Strada,1
673,244966,4504,0,1,2,5,1,Strada,1
1066,24259,5487,1,5,1,4,0,Mare,0
930,80400,3196,1,5,5,2,0,Strada,1
2099,297437,2032,0,2,3,3,1,Mare,0
1377,112581,5760,1,3,3,3,0,Strada,1
2351,8043,243,0,0,3,4,0,Mare,1
502,182502,4508,1,4,2,3,1,Strada,0
1233,108009,1169,1,0,2,1,0,Strada,1
2106,210137,5209,1,3,3,2,0,Strada,1
1732,162940,6961,0,2,3,1,1,Aereo,1
2305,289453,6590,0,3,1,1,0,Strada,1
1204,286428,4252,0,2,4,5,1,Strada,1
453,114259,7234,0,1,1,2,1,Strada,1
2249,101804,576,0,4,3,4,0,Strada,0
2151,70000,2002,0,0,2,3,1,Strada,1
1746,85179,7204,1,2,2,5,1,Strada,1
677,292409,4929,1,0,3,1,0,Ferrovia,0
636,261226,7716,0,1,4,3,1,Strada,1
1698,24880,6718,0,3,5,2,1,Strada,1
1493,202264,1832,0,2,5,1,0,Ferrovia,1
1495,173438,5895,1,4,1,1,0,Strada,1
153,246352,7880,0,2,4,2,1,Mare,1
303,68396,5212,0,5,5,4,1,Strada,0
1546,280250,2723,0,3,4,5,0,Ferrovia,1
148,57731,6011,1,3,2,2,1,Ferrovia,1
2250,76010,7810,1,4,2,3,0,Strada,0
1934,250091,2447,1,4,4,3,1,Strada,1
1969,295743,3774,1,1,3,1,1,Strada,1
927,72326,7247,0,0,5,5,1,Ferrovia,1
387,249876,5610,0,2,5,4,1,Strada,1
1006,10004,5151,0,1,2,4,1,Ferrovia,0
1754,116018,2639,1,0,1,3,1,Aereo,1
210,26792,3576,0,1,5,4,0,Strada,0
1653,55645,3899,1,5,2,3,1,Aereo,0
447,8232,1684,0,4,2,5,1,Strada,1
1350,55766,3059,0,4,4,1,1,Mare,0
865,121601,143,0,3,4,3,0,Strada,1
1577,82588,3844,0,2,4,5,1,Strada,0
1969,180614,3416,1,2,1,3,0,Strada,1
1465,6913,7766,1,2,5,2,1,Mare,1
1208,113406,6189,1,1,1,3,0,Mare,1
1268,114693,2996,0,1,1,5,1,Mare,1
450,94449,138,1,2,4,4,1,Ferrovia,1
689,11567,6099,0,3,2,3,1,Aereo,1
509,39379,2600,0,0,3,1,1,Mare,1
1004,207040,2864,0,5,2,5,1,Strada,1
519,263463,6187,0,1,2,4,1,Strada,1
1095,91005,6407,0,2,2,5,0,Strada,1
1743,224098,1495,1,4,2,3,1,Strada,1
2135,5791,4671,1,1,1,2,1,Mare,1
2327,132401,6385,0,0,4,2,0,Mare,1
612,206459,1880,0,1,4,1,0,Ferrovia,1
1849,62032,2791,1,0,2,1,1,Strada,1
2124,176150,6835,0,0,3,4,0,Mare,1
275,22300,7441,1,1,5,2,0,Aereo,0
847,56609,604,0,0,2,3,0,Strada,0
2381,192634,3814,1,1,2,5,0,Strada,0
1009,91045,2484,0,1,3,5,0,Ferrovia,1
1554,268847,730,1,3,1,2,0,Mare,1
502,224717,6969,0,4,2,2,0,Aereo,0
865,220162,5643,0,5,3,5,1,Ferrovia,1
708,28676,1681,0,0,1,4,1,Mare,1
596,221412,252,0,1,1,5,1,Strada,0
1265,177512,7203,0,0,2,1,0,Aereo,1
66,168995,4592,1,1,1,3,1,Aereo,0
1293,292946,3968,0,5,2,2,1,Strada,1
2255,125786,7093,0,1,2,2,1,Mare,1
1119,69147,3189,0,1,4,4,1,Strada,1
2196,23075,5261,0,4,5,1,0,Aereo,1
1818,206788,4923,1,0,5,5,0,Strada,0
1110,10304,2275,1,4,4,1,0,Strada,1
2377,130851,1736,1,4,2,1,0,Mare,1
351,60622,878,0,4,3,4,0,Mare,1
230,109654,4704,0,4,1,4,0,Ferrovia,1
656,250109,7220,0,3,4,5,1,Ferrovia,1
749,287172,2072,0,0,4,5,1,Strada,1
1042,40328,152,0,0,4,3,0,Strada,0
1189,290445,5442,1,1,4,1,1,Strada,0
240,219348,1607,1,0,5,5,1,Strada,1
2350,37845,4261,1,5,2,4,0,Mare,0
1030,77394,5004,0,4,4,3,1,Strada,1
2056,176231,4137,1,2,4,3,0,Strada,0
1234,81722,2561,1,0,4,4,1,Strada,1
177,288374,153,0,2,3,5,0,Strada,1
2115,93554,6452,1,5,3,4,0,Mare,1
1866,50262,5477,0,3,1,5,0,Mare,1
1808,42722,3488,0,1,2,4,1,Strada,1
619,172231,5074,0,1,4,4,1,Strada,1
1396,241740,2907,0,1,1,2,1,Aereo,1
1945,88052,6835,0,3,1,5,1,Aereo,1
675,101808,856,1,4,2,1,0,Strada,0
1736,256416,7216,0,2,3,2,0,Strada,0
204,263128,7519,0,0,2,2,1,Strada,0
1459,222281,4705,1,4,1,2,1,Strada,1
834,247052,2124,0,1,2,2,1,Aereo,0
295,105697,6701,0,1,3,1,0,Strada,1
1550,232572,576,1,4,1,2,1,Mare,1
1755,233842,6968,1,2,2,1,0,Ferrovia,1
587,97299,3486,0,4,4,1,1,Mare,0
1940,166746,5098,1,3,4,2,1,Strada,1
1891,150177,347,0,1,2,3,1,Strada,1
970,161811,4922,1,2,2,1,1,Strada,1
574,164041,410,1,0,3,2,0,Aereo,1
1579,15497,3767,0,1,1,4,0,Strada,0
85,255204,4649,0,4,2,4,0,Strada,1
734,258471,2026,0,2,1,5,0,Strada,1
69,93019,6781,1,1,4,1,0,Strada,0
2418,191326,2127,1,0,1,1,1,Mare,1
449,110017,5608,1,0,5,4,1,Aereo,1
1021,219220,3461,0,5,3,1,1,Ferrovia,1
1956,106153,2223,1,4,3,1,0,Mare,0
1216,34826,4741,0,3,1,4,0,Strada,1
1165,111034,1639,0,4,3,2,1,Strada,0
883,85242,1439,1,2,1,4,0,Strada,1
1873,51100,6021,1,4,1,3,1,Strada,1
2032,222171,3564,1,2,4,4,1,Mare,1
903,13809,312,1,5,1,4,1,Ferrovia,1
100,65450,3033,1,5,3,2,0,Mare,1
624,112126,2969,0,5,5,4,0,Aereo,1
1198,265237,7439,1,3,2,4,0,Mare,1
2247,45498,1913,0,5,3,2,0,Strada,1
2411,117251,51,1,4,5,4,1,Ferrovia,1
2402,41985,1983,1,0,3,2,1,Mare,0
1765,295153,443,0,2,5,3,1,Strada,1
731,18718,355,1,2,3,2,0,Strada,1
887,279849,5315,1,0,2,1,0,Strada,1
1127,63598,579,0,4,4,1,0,Aereo,1
2361,275383,4673,0,3,4,2,1,Strada,1
1645,47665,3429,1,1,2,4,0,Mare,1
54,295418,1014,1,4,3,5,0,Mare,0
1176,147075,4069,1,5,5,5,0,Mare,1
1269,162938,720,0,4,1,3,1,Strada,1
823,154060,4118,1,2,3,3,1,Strada,1
926,222516,7557,1,2,2,5,1,Mare,1
1041,137746,6545,1,3,4,5,1,Strada,1
96,202610,7003,0,5,4,2,0,Strada,1
318,67446,6402,1,3,3,5,1,Ferrovia,1
419,30072,5103,0,3,5,1,0,Aereo,1
685,34717,2302,0,0,2,3,1,Mare,0
1179,219417,2722,0,1,2,3,1,Mare,1
1743,158723,1763,0,1,5,1,1,Strada,1
1732,110525,4094,0,5,5,3,0,Ferrovia,1
706,214092,4866,1,3,3,5,1,Ferrovia,1
169,5646,685,0,2,3,3,1,Mare,0
880,176403,5184,1,1,4,1,0,Mare,1
1860,285329,7051,1,4,4,3,0,Mare,1
1131,230728,3549,0,0,5,5,1,Mare,1
2024,53107,6669,0,2,1,2,0,Strada,0
1419,245865,6491,0,0,1,5,1,Mare,1
790,280707,4702,0,4,1,3,1,Strada,1
166,71729,1167,1,1,2,4,0,Strada,0
1903,278845,2204,1,0,3,3,1,Strada,0
1200,201144,7636,0,5,5,3,0,Strada,1
1981,216494,7495,0,0,4,1,1,Aereo,1
1062,253615,4273,1,0,1,4,1,Strada,1
1714,129331,6139,1,4,4,1,1,Mare,1
1131,161482,6652,0,2,3,1,1,Strada,0
683,100280,87,1,2,5,5,0,Strada,1
562,190787,1682,1,4,1,2,0,Aereo,1
1169,39665,4343,1,0,1,3,1,Strada,1
1191,279101,3825,0,0,5,4,0,Mare,1
609,260285,6550,0,3,4,3,0,Mare,1
537,164947,2104,1,5,3,1,1,Strada,0
946,114828,4135,0,1,3,2,1,Strada,0
1262,133698,7773,1,1,3,1,1,Strada,1
753,91815,3453,1,2,4,3,0,Mare,1
1520,195894,568,0,4,4,5,1,Mare,1
630,204485,2291,0,0,1,3,1,Mare,1
2344,165714,2413,1,5,4,1,1,Strada,0
203,33356,5170,0,1,2,4,0,Strada,1
1729,266953,5231,0,4,5,4,0,Strada,1
1046,298019,6536,0,4,4,4,0,Strada,1
1293,242121,6794,0,0,3,4,1,Strada,1
1142,272609,1091,1,5,4,4,0,Strada,1
1058,198167,4765,1,4,1,2,0,Mare,1
2191,197322,7864,0,1,5,2,1,Ferrovia,1
1823,16250,1444,1,3,5,5,1,Strada,1
1007,47023,2919,0,1,3,4,0,Aereo,1
502,102350,7796,0,5,5,1,0,Mare,1
1277,178696,3726,0,3,2,1,0,Aereo,1
2315,17427,3771,1,4,5,3,0,Strada,0
2438,211084,3822,1,1,3,4,1,Ferrovia,1
600,135511,5740,1,0,5,1,1,Ferrovia,1
1685,219403,5868,0,5,4,5,0,Ferrovia,1
1362,79672,284,1,4,1,1,1,Aereo,1
1807,18300,3190,1,0,4,5,1,Strada,1
406,20659,496,0,3,2,4,0,Strada,0
2120,163475,4755,0,2,2,3,0,Ferrovia,1
1835,246259,57,0,2,1,3,0,Strada,1
1831,11360,4607,0,3,1,2,1,Strada,1
1681,284568,1049,1,2,1,4,0,Strada,0
1065,99035,1384,1,5,1,1,0,Mare,1
1398,49791,183,0,4,5,3,1,Mare,0
565,200867,2482,0,4,4,5,0,Ferrovia,1
385,275444,105,0,5,2,5,1,Aereo,1
1832,34370,5138,0,1,5,1,0,Mare,1
2355,201903,5529,1,4,1,1,1,Mare,1
546,28209,6140,0,2,3,4,1,Strada,1
945,284071,3235,0,5,3,1,0,Strada,1
2257,35579,1161,1,0,4,1,0,Aereo,1
901,272176,6331,0,1,2,1,0,Mare,1
1737,94254,3229,0,0,2,3,0,Strada,1
1981,114528,1573,0,2,4,4,0,Strada,1
2477,224274,6728,0,0,1,1,1,Mare,0
1618,239292,193,0,2,1,1,0,Strada,1
1006,182026,2966,1,4,2,5,0,Strada,1
1686,249342,6849,1,1,2,3,0,Aereo,0
1341,220437,2153,1,3,2,1,1,Strada,1
1490,279076,669,1,2,1,3,0,Mare,1
1241,288858,1936,0,5,3,4,1,Aereo,1
1116,58803,5175,0,5,4,4,1,Aereo,0
334,134624,6735,0,4,4,2,0,Aereo,1
2494,57627,6640,0,5,5,5,0,Aereo,1
61,178059,2070,0,0,5,2,1,Strada,1
1680,46380,1458,0,4,3,3,1,Ferrovia,1
803,161322,7524,1,5,2,5,1,Strada,1
2132,200416,2971,0,0,3,1,1,Strada,1
139,147367,4784,0,0,5,5,1,Strada,1
825,273667,3423,1,0,5,5,0,Ferrovia,1
1675,260125,5802,1,5,4,4,1,Strada,1
467,14769,3526,0,0,3,2,1,Strada,1
164,113035,6804,1,1,1,4,1,Strada,1
666,176717,7895,1,5,5,4,1,Strada,1
875,222815,886,0,0,4,2,1,Mare,1
1699,232832,3952,0,1,2,4,0,Strada,1
1566,157629,7970,1,3,3,5,0,Mare,1
462,235799,1635,1,1,5,3,1,Aereo,1
778,169157,4925,1,5,1,1,0,Mare,1
725,145542,886,1,5,5,1,1,Aereo,1
1942,119643,2607,1,0,1,4,0,Strada,1
2289,211154,7290,1,5,3,2,0,Strada,1
1172,138877,2909,0,3,1,5,0,Mare,1
1621,214396,6757,0,4,1,4,0,Aereo,0
1027,226956,4410,1,1,4,5,1,Mare,1
1058,182844,7444,1,4,3,5,0,Aereo,0
2193,102422,5362,0,3,5,1,1,Strada,1
1737,269774,1447,1,1,2,3,0,Strada,1
86,278845,3872,0,0,3,3,0,Strada,1
1598,146931,6203,1,1,3,2,0,Strada,1
2376,118556,4447,1,0,2,3,1,Strada,1
2314,229495,3480,1,2,5,4,0,Strada,1
922,255809,7957,1,1,4,1,0,Strada,1
1871,206384,6123,0,1,5,1,0,Aereo,1
1346,16021,854,0,4,2,5,1,Strada,1
2159,201935,1125,0,4,5,4,0,Strada,0
645,205222,5921,0,3,3,4,0,Ferrovia,1
1953,65361,4244,1,0,4,5,1,Mare,1
778,273499,2690,0,5,1,5,0,Mare,1
1415,99841,3134,0,4,5,1,0,Aereo,1
446,181076,1463,0,3,1,4,1,Mare,0
748,247300,6123,1,0,4,3,0,Strada,1
2274,161786,4502,1,0,1,3,1,Strada,1
1685,18198,1713,1,0,5,1,1,Aereo,1
445,259466,3025,1,2,2,3,1,Aereo,1
125,19740,4156,1,0,3,3,0,Strada,1
314,266954,4226,0,3,3,4,1,Strada,1
1869,259308,7478,0,0,1,4,1,Strada,0
767,100855,2103,0,5,3,2,0,Mare,0
900,211192,7675,0,5,3,4,0,Strada,1
1440,289927,2470,1,0,2,2,0,Aereo,1
193,122701,2578,0,3,1,4,1,Ferrovia,1
934,272615,4367,1,1,2,5,1,Mare,1
445,111771,1990,1,0,2,4,1,Ferrovia,0
1542,7163,3202,0,3,4,2,0,Strada,1
1217,17065,1996,0,4,1,3,1,Aereo,1
1112,242262,564,0,3,2,4,1,Mare,1
2206,249924,7277,0,2,5,3,0,Strada,0
1115,180420,270,0,4,3,3,1,Strada,1
1259,282298,6542,1,5,1,4,0,Strada,1
2495,21229,7778,0,5,4,4,0,Aereo,1
683,251470,277,1,1,2,5,1,Aereo,1
1206,159069,2387,1,1,5,2,1,Mare,1
1288,22101,4438,0,3,3,4,1,Mare,1
782,41391,7003,1,3,3,3,1,Strada,1
284,207935,3314,1,0,5,3,0,Mare,0
800,73723,1005,1,0,1,4,0,Mare,1
1003,227293,1547,1,5,3,2,1,Strada,1
1592,191477,1330,1,2,3,3,0,Ferrovia,1
1247,167020,2028,0,0,3,5,0,Mare,0
1726,291604,1579,0,5,2,3,1,Aereo,1
1241,198190,4533,0,3,2,2,0,Mare,1
2267,180354,2712,1,3,3,1,1,Ferrovia,1
1466,92725,7615,1,0,4,5,1,Strada,0
1267,213139,2463,0,2,3,5,0,Mare,1
1590,86779,2755,1,5,1,1,1,Strada,1
2126,4060,6483,1,3,4,5,0,Strada,1
1495,126806,7986,1,5,1,5,0,Strada,1
2436,276875,7526,1,2,5,5,0,Strada,1
1569,116871,7495,1,3,5,3,0,Aereo,0
1438,21719,3585,0,5,2,3,1,Strada,1
1906,50116,4334,0,2,2,4,1,Mare,0
1415,27325,967,1,2,2,4,0,Ferrovia,0
549,15551,1251,0,2,5,3,0,Aereo,1
1730,287422,7745,0,0,1,5,1,Strada,0
560,16141,5069,1,1,4,2,1,Strada,1
266,296759,7181,0,5,2,1,0,Strada,1
1374,123058,2472,0,2,5,4,1,Strada,1
1205,194823,1671,1,5,2,5,0,Strada,1
1877,113684,809,0,2,3,4,1,Mare,1
1860,290596,5623,1,5,4,2,0,Strada,1
1255,51391,6410,0,3,1,5,1,Strada,1
2264,121288,5211,0,5,2,3,1,Strada,1
140,207132,4339,0,1,3,2,1,Mare,0
763,114535,5496,0,3,3,4,0,Aereo,1
1931,143770,5542,1,3,4,5,0,Ferrovia,1
88,240947,1538,1,2,5,5,0,Mare,1
222,87711,4308,0,4,5,1,1,Mare,1
702,265509,4421,1,1,2,1,0,Mare,1
803,229625,4509,1,3,2,1,1,Mare,1
1293,44372,1715,0,4,5,3,0,Mare,1
1131,45134,6968,0,4,1,5,0,Mare,1
1733,72158,6673,1,3,1,5,0,Strada,1
505,238159,6882,1,2,3,4,1,Ferrovia,1
878,134021,2052,1,0,4,3,0,Strada,1
944,50396,509,1,3,1,1,1,Strada,0
1434,32912,7482,0,2,2,5,1,Strada,0
2008,57947,6732,1,1,1,1,1,Aereo,1
2484,45387,3071,1,2,4,2,1,Strada,1
2046,279652,7603,1,4,2,3,0,Strada,1
2445,110249,6278,0,1,4,1,1,Mare,0
239,2919,5877,1,1,5,3,1,Mare,0
554,141689,5485,1,0,4,5,0,Mare,0
1264,34298,2340,0,0,4,2,1,Strada,0
1581,238225,7686,0,3,4,4,1,Aereo,1
873,234725,7073,1,2,2,2,0,Mare,0
978,277600,1415,0,3,4,3,1,Aereo,0
983,110599,7394,1,0,4,2,0,Mare,1
1190,84721,3251,1,4,3,5,1,Strada,1
183,287384,4802,0,0,2,3,1,Mare,0
2155,272372,5252,0,2,4,3,0,Strada,0
734,284830,1433,0,4,1,5,1,Strada,1
2270,12920,2185,1,3,4,1,0,Strada,1
1902,8432,7749,0,3,1,4,1,Aereo,0
864,111507,4887,1,0,5,2,0,Strada,1
1222,225647,6141,0,0,5,4,1,Mare,1
129,165982,3082,1,5,2,4,0,Strada,1
252,122764,3759,1,3,2,5,1,Ferrovia,1
